회사명,거래소코드,회계년도,업종코드,소속코드,산업코드
(주)BNK금융지주,138930,2011/12,02,1,116502
(주)BNK금융지주,138930,2012/12,02,1,116502
(주)BNK금융지주,138930,2013/12,02,1,116502
(주)BNK금융지주,138930,2014/12,02,1,116502
(주)BNK금융지주,138930,2015/12,02,1,116502
(주)BNK금융지주,138930,2016/12,02,1,116502
(주)BNK금융지주,138930,2017/12,02,1,116502
(주)BNK금융지주,138930,2018/12,02,1,116502
(주)BNK금융지주,138930,2019/12,02,1,116502
(주)BNK금융지주,138930,2020/12,02,1,116502
(주)CMG제약,058820,2000/12,01,5,032102
(주)CMG제약,058820,2001/12,01,5,032102
(주)CMG제약,058820,2002/12,01,5,032102
(주)CMG제약,058820,2003/12,01,5,032102
(주)CMG제약,058820,2004/12,01,5,032102
(주)CMG제약,058820,2005/12,01,5,032102
(주)CMG제약,058820,2006/12,01,5,032102
(주)CMG제약,058820,2007/12,01,5,032102
(주)CMG제약,058820,2008/12,01,5,032102
(주)CMG제약,058820,2009/12,01,5,032102
(주)CMG제약,058820,2010/12,01,5,032102
(주)CMG제약,058820,2011/12,01,5,032102
(주)CMG제약,058820,2012/12,01,5,032102
(주)CMG제약,058820,2013/12,01,5,032102
(주)CMG제약,058820,2014/12,01,5,032102
(주)CMG제약,058820,2015/12,01,5,032102
(주)CMG제약,058820,2016/12,01,5,032102
(주)CMG제약,058820,2017/12,01,5,032102
(주)CMG제약,058820,2018/12,01,5,032102
(주)CMG제약,058820,2019/12,01,5,032102
(주)CMG제약,058820,2020/12,01,5,032102
(주)DB하이텍,000990,2000/12,01,1,032601
(주)DB하이텍,000990,2001/12,01,1,032601
(주)DB하이텍,000990,2002/12,01,1,032601
(주)DB하이텍,000990,2003/12,01,1,032601
(주)DB하이텍,000990,2004/12,01,1,032601
(주)DB하이텍,000990,2005/12,01,1,032601
(주)DB하이텍,000990,2006/12,01,1,032601
(주)DB하이텍,000990,2007/12,01,1,032601
(주)DB하이텍,000990,2008/12,01,1,032601
(주)DB하이텍,000990,2009/12,01,1,032601
(주)DB하이텍,000990,2010/12,01,1,032601
(주)DB하이텍,000990,2011/12,01,1,032601
(주)DB하이텍,000990,2012/12,01,1,032601
(주)DB하이텍,000990,2013/12,01,1,032601
(주)DB하이텍,000990,2014/12,01,1,032601
(주)DB하이텍,000990,2015/12,01,1,032601
(주)DB하이텍,000990,2016/12,01,1,032601
(주)DB하이텍,000990,2017/12,01,1,032601
(주)DB하이텍,000990,2018/12,01,1,032601
(주)DB하이텍,000990,2019/12,01,1,032601
(주)DB하이텍,000990,2020/12,01,1,032601
(주)ES큐브,050120,2001/06,01,5,074604
(주)ES큐브,050120,2002/06,01,5,074604
(주)ES큐브,050120,2003/06,01,5,074604
(주)ES큐브,050120,2004/06,01,5,074604
(주)ES큐브,050120,2005/12,01,5,074604
(주)ES큐브,050120,2006/12,01,5,074604
(주)ES큐브,050120,2007/12,01,5,074604
(주)ES큐브,050120,2008/12,01,5,074604
(주)ES큐브,050120,2009/12,01,5,074604
(주)ES큐브,050120,2010/12,01,5,074604
(주)ES큐브,050120,2011/12,01,5,074604
(주)ES큐브,050120,2012/12,01,5,074604
(주)ES큐브,050120,2013/12,01,5,074604
(주)ES큐브,050120,2014/12,01,5,074604
(주)ES큐브,050120,2015/12,01,5,074604
(주)ES큐브,050120,2016/12,01,5,074604
(주)ES큐브,050120,2017/12,01,5,074604
(주)ES큐브,050120,2018/12,01,5,074604
(주)ES큐브,050120,2019/12,01,5,074604
(주)ES큐브,050120,2020/12,01,5,074604
(주)JB금융지주,175330,2013/12,02,1,116502
(주)JB금융지주,175330,2014/12,02,1,116502
(주)JB금융지주,175330,2015/12,02,1,116502
(주)JB금융지주,175330,2016/12,02,1,116502
(주)JB금융지주,175330,2017/12,02,1,116502
(주)JB금융지주,175330,2018/12,02,1,116502
(주)JB금융지주,175330,2019/12,02,1,116502
(주)JB금융지주,175330,2020/12,02,1,116502
(주)KB금융지주,105560,2008/12,02,1,116502
(주)KB금융지주,105560,2009/12,02,1,116502
(주)KB금융지주,105560,2010/12,02,1,116502
(주)KB금융지주,105560,2011/12,02,1,116502
(주)KB금융지주,105560,2012/12,02,1,116502
(주)KB금융지주,105560,2013/12,02,1,116502
(주)KB금융지주,105560,2014/12,02,1,116502
(주)KB금융지주,105560,2015/12,02,1,116502
(주)KB금융지주,105560,2016/12,02,1,116502
(주)KB금융지주,105560,2017/12,02,1,116502
(주)KB금융지주,105560,2018/12,02,1,116502
(주)KB금융지주,105560,2019/12,02,1,116502
(주)KB금융지주,105560,2020/12,02,1,116502
(주)KB손해보험,002550,2000/03,03,4,116601
(주)KB손해보험,002550,2001/03,03,4,116601
(주)KB손해보험,002550,2002/03,03,4,116601
(주)KB손해보험,002550,2003/03,03,4,116601
(주)KB손해보험,002550,2004/03,03,4,116601
(주)KB손해보험,002550,2005/03,03,4,116601
(주)KB손해보험,002550,2006/03,03,4,116601
(주)KB손해보험,002550,2007/03,03,4,116601
(주)KB손해보험,002550,2008/03,03,4,116601
(주)KB손해보험,002550,2009/03,03,4,116601
(주)KB손해보험,002550,2010/03,03,4,116601
(주)KB손해보험,002550,2011/03,03,4,116601
(주)KB손해보험,002550,2012/03,03,4,116601
(주)KB손해보험,002550,2013/03,03,4,116601
(주)KB손해보험,002550,2014/12,03,4,116601
(주)KB손해보험,002550,2015/12,03,4,116601
(주)KB손해보험,002550,2016/12,03,4,116601
(주)LG데이콤,015940,2000/12,01,4,106102
(주)LG데이콤,015940,2001/12,01,4,106102
(주)LG데이콤,015940,2002/12,01,4,106102
(주)LG데이콤,015940,2003/12,01,4,106102
(주)LG데이콤,015940,2004/12,01,4,106102
(주)LG데이콤,015940,2005/12,01,4,106102
(주)LG데이콤,015940,2006/12,01,4,106102
(주)LG데이콤,015940,2007/12,01,4,106102
(주)LG데이콤,015940,2008/12,01,4,106102
(주)LG파워콤,045820,2001/12,01,4,106102
(주)LG파워콤,045820,2002/12,01,4,106102
(주)LG파워콤,045820,2003/12,01,4,106102
(주)LG파워콤,045820,2004/12,01,4,106102
(주)LG파워콤,045820,2005/12,01,4,106102
(주)LG파워콤,045820,2006/12,01,4,106102
(주)LG파워콤,045820,2007/12,01,4,106102
(주)LG파워콤,045820,2008/12,01,4,106102
(주)MH에탄올,023150,2000/12,01,1,031101
(주)MH에탄올,023150,2001/12,01,1,031101
(주)MH에탄올,023150,2002/12,01,1,031101
(주)MH에탄올,023150,2003/12,01,1,031101
(주)MH에탄올,023150,2004/12,01,1,031101
(주)MH에탄올,023150,2005/12,01,1,031101
(주)MH에탄올,023150,2006/12,01,1,031101
(주)MH에탄올,023150,2007/12,01,1,031101
(주)MH에탄올,023150,2008/12,01,1,031101
(주)MH에탄올,023150,2009/12,01,1,031101
(주)MH에탄올,023150,2010/12,01,1,031101
(주)MH에탄올,023150,2011/12,01,1,031101
(주)MH에탄올,023150,2012/12,01,1,031101
(주)MH에탄올,023150,2013/12,01,1,031101
(주)MH에탄올,023150,2014/12,01,1,031101
(주)MH에탄올,023150,2015/12,01,1,031101
(주)MH에탄올,023150,2016/12,01,1,031101
(주)MH에탄올,023150,2017/12,01,1,031101
(주)MH에탄올,023150,2018/12,01,1,031101
(주)MH에탄올,023150,2019/12,01,1,031101
(주)MH에탄올,023150,2020/12,01,1,031101
(주)SH에너지화학,002360,2000/06,01,1,032001
(주)SH에너지화학,002360,2001/06,01,1,032001
(주)SH에너지화학,002360,2002/06,01,1,032001
(주)SH에너지화학,002360,2003/06,01,1,032001
(주)SH에너지화학,002360,2004/06,01,1,032001
(주)SH에너지화학,002360,2005/06,01,1,032001
(주)SH에너지화학,002360,2006/12,01,1,032001
(주)SH에너지화학,002360,2007/12,01,1,032001
(주)SH에너지화학,002360,2008/12,01,1,032001
(주)SH에너지화학,002360,2009/12,01,1,032001
(주)SH에너지화학,002360,2010/12,01,1,032001
(주)SH에너지화학,002360,2011/12,01,1,032001
(주)SH에너지화학,002360,2012/12,01,1,032001
(주)SH에너지화학,002360,2013/12,01,1,032001
(주)SH에너지화학,002360,2014/12,01,1,032001
(주)SH에너지화학,002360,2015/12,01,1,032001
(주)SH에너지화학,002360,2016/12,01,1,032001
(주)SH에너지화학,002360,2017/12,01,1,032001
(주)SH에너지화학,002360,2018/12,01,1,032001
(주)SH에너지화학,002360,2019/12,01,1,032001
(주)SH에너지화학,002360,2020/12,01,1,032001
(주)SIMPAC,009160,2000/12,01,1,032902
(주)SIMPAC,009160,2001/12,01,1,032902
(주)SIMPAC,009160,2002/12,01,1,032902
(주)SIMPAC,009160,2003/12,01,1,032902
(주)SIMPAC,009160,2004/12,01,1,032902
(주)SIMPAC,009160,2005/12,01,1,032902
(주)SIMPAC,009160,2006/12,01,1,032902
(주)SIMPAC,009160,2007/12,01,1,032902
(주)SIMPAC,009160,2008/12,01,1,032902
(주)SIMPAC,009160,2009/12,01,1,032902
(주)SIMPAC,009160,2010/12,01,1,032902
(주)SIMPAC,009160,2011/12,01,1,032902
(주)SIMPAC,009160,2012/12,01,1,032902
(주)SIMPAC,009160,2013/12,01,1,032902
(주)SIMPAC,009160,2014/12,01,1,032902
(주)SIMPAC,009160,2015/12,01,1,032902
(주)SIMPAC,009160,2016/12,01,1,032902
(주)SIMPAC,009160,2017/12,01,1,032902
(주)SIMPAC,009160,2018/12,01,1,032902
(주)SIMPAC,009160,2019/12,01,1,032902
(주)SIMPAC,009160,2020/12,01,1,032902
(주)SNT에너지,100840,2008/12,01,1,032901
(주)SNT에너지,100840,2009/12,01,1,032901
(주)SNT에너지,100840,2010/12,01,1,032901
(주)SNT에너지,100840,2011/12,01,1,032901
(주)SNT에너지,100840,2012/12,01,1,032901
(주)SNT에너지,100840,2013/12,01,1,032901
(주)SNT에너지,100840,2014/12,01,1,032901
(주)SNT에너지,100840,2015/12,01,1,032901
(주)SNT에너지,100840,2016/12,01,1,032901
(주)SNT에너지,100840,2017/12,01,1,032901
(주)SNT에너지,100840,2018/12,01,1,032901
(주)SNT에너지,100840,2019/12,01,1,032901
(주)SNT에너지,100840,2020/12,01,1,032901
(주)SNT홀딩스,036530,2000/12,01,1,137105
(주)SNT홀딩스,036530,2001/12,01,1,137105
(주)SNT홀딩스,036530,2002/12,01,1,137105
(주)SNT홀딩스,036530,2003/12,01,1,137105
(주)SNT홀딩스,036530,2004/12,01,1,137105
(주)SNT홀딩스,036530,2005/12,01,1,137105
(주)SNT홀딩스,036530,2006/12,01,1,137105
(주)SNT홀딩스,036530,2007/12,01,1,137105
(주)SNT홀딩스,036530,2008/12,01,1,137105
(주)SNT홀딩스,036530,2009/12,01,1,137105
(주)SNT홀딩스,036530,2010/12,01,1,137105
(주)SNT홀딩스,036530,2011/12,01,1,137105
(주)SNT홀딩스,036530,2012/12,01,1,137105
(주)SNT홀딩스,036530,2013/12,01,1,137105
(주)SNT홀딩스,036530,2014/12,01,1,137105
(주)SNT홀딩스,036530,2015/12,01,1,137105
(주)SNT홀딩스,036530,2016/12,01,1,137105
(주)SNT홀딩스,036530,2017/12,01,1,137105
(주)SNT홀딩스,036530,2018/12,01,1,137105
(주)SNT홀딩스,036530,2019/12,01,1,137105
(주)SNT홀딩스,036530,2020/12,01,1,137105
(주)STX,011810,2000/12,01,1,074608
(주)STX,011810,2001/12,01,1,074608
(주)STX,011810,2002/12,01,1,074608
(주)STX,011810,2003/12,01,1,074608
(주)STX,011810,2004/12,01,1,074608
(주)STX,011810,2005/12,01,1,074608
(주)STX,011810,2006/12,01,1,074608
(주)STX,011810,2007/12,01,1,074608
(주)STX,011810,2008/12,01,1,074608
(주)STX,011810,2009/12,01,1,074608
(주)STX,011810,2010/12,01,1,074608
(주)STX,011810,2011/12,01,1,074608
(주)STX,011810,2012/12,01,1,074608
(주)STX,011810,2013/12,01,1,074608
(주)STX,011810,2014/12,01,1,074608
(주)STX,011810,2015/12,01,1,074608
(주)STX,011810,2016/12,01,1,074608
(주)STX,011810,2017/12,01,1,074608
(주)STX,011810,2018/12,01,1,074608
(주)STX,011810,2019/12,01,1,074608
(주)STX,011810,2020/12,01,1,074608
(주)TCC스틸,002710,2000/12,01,1,032401
(주)TCC스틸,002710,2001/12,01,1,032401
(주)TCC스틸,002710,2002/12,01,1,032401
(주)TCC스틸,002710,2003/12,01,1,032401
(주)TCC스틸,002710,2004/12,01,1,032401
(주)TCC스틸,002710,2005/12,01,1,032401
(주)TCC스틸,002710,2006/12,01,1,032401
(주)TCC스틸,002710,2007/12,01,1,032401
(주)TCC스틸,002710,2008/12,01,1,032401
(주)TCC스틸,002710,2009/12,01,1,032401
(주)TCC스틸,002710,2010/12,01,1,032401
(주)TCC스틸,002710,2011/12,01,1,032401
(주)TCC스틸,002710,2012/12,01,1,032401
(주)TCC스틸,002710,2013/12,01,1,032401
(주)TCC스틸,002710,2014/12,01,1,032401
(주)TCC스틸,002710,2015/12,01,1,032401
(주)TCC스틸,002710,2016/12,01,1,032401
(주)TCC스틸,002710,2017/12,01,1,032401
(주)TCC스틸,002710,2018/12,01,1,032401
(주)TCC스틸,002710,2019/12,01,1,032401
(주)TCC스틸,002710,2020/12,01,1,032401
(주)가비아,079940,2002/12,01,5,105802
(주)가비아,079940,2003/12,01,5,105802
(주)가비아,079940,2004/12,01,5,105802
(주)가비아,079940,2005/12,01,5,105802
(주)가비아,079940,2006/12,01,5,105802
(주)가비아,079940,2007/12,01,5,105802
(주)가비아,079940,2008/12,01,5,105802
(주)가비아,079940,2009/12,01,5,105802
(주)가비아,079940,2010/12,01,5,105802
(주)가비아,079940,2011/12,01,5,105802
(주)가비아,079940,2012/12,01,5,105802
(주)가비아,079940,2013/12,01,5,105802
(주)가비아,079940,2014/12,01,5,105802
(주)가비아,079940,2015/12,01,5,105802
(주)가비아,079940,2016/12,01,5,105802
(주)가비아,079940,2017/12,01,5,105802
(주)가비아,079940,2018/12,01,5,105802
(주)가비아,079940,2019/12,01,5,105802
(주)가비아,079940,2020/12,01,5,105802
(주)갑을,009840,2000/12,01,4,031304
(주)갑을,009840,2001/12,01,4,031304
(주)갑을,009840,2002/12,01,4,031304
(주)강스템바이오텍,217730,2013/12,01,5,032101
(주)강스템바이오텍,217730,2014/12,01,5,032101
(주)강스템바이오텍,217730,2015/12,01,5,032101
(주)강스템바이오텍,217730,2016/12,01,5,032101
(주)강스템바이오텍,217730,2017/12,01,5,032101
(주)강스템바이오텍,217730,2018/12,01,5,032101
(주)강스템바이오텍,217730,2019/12,01,5,032101
(주)강스템바이오텍,217730,2020/12,01,5,032101
(주)강원,114190,2000/11,01,6,032501
(주)강원,114190,2001/11,01,6,032501
(주)강원,114190,2002/11,01,6,032501
(주)강원,114190,2003/11,01,6,032501
(주)강원,114190,2004/11,01,6,032501
(주)강원,114190,2005/11,01,6,032501
(주)강원,114190,2006/11,01,6,032501
(주)강원,114190,2007/11,01,6,032501
(주)강원,114190,2008/11,01,6,032501
(주)강원,114190,2009/11,01,6,032501
(주)강원,114190,2010/11,01,6,032501
(주)강원,114190,2011/11,01,6,032501
(주)강원,114190,2012/12,01,6,032501
(주)강원,114190,2013/12,01,6,032501
(주)강원,114190,2014/12,01,6,032501
(주)강원,114190,2015/12,01,6,032501
(주)강원,114190,2016/12,01,6,032501
(주)강원,114190,2017/12,01,6,032501
(주)강원,114190,2018/12,01,6,032501
(주)강원,114190,2019/12,01,6,032501
(주)강원,114190,2020/12,01,6,032501
(주)강원랜드,035250,2000/12,01,1,189102
(주)강원랜드,035250,2000/12,01,4,189102
(주)강원랜드,035250,2001/12,01,1,189102
(주)강원랜드,035250,2001/12,01,4,189102
(주)강원랜드,035250,2002/12,01,1,189102
(주)강원랜드,035250,2002/12,01,4,189102
(주)강원랜드,035250,2003/12,01,1,189102
(주)강원랜드,035250,2004/12,01,1,189102
(주)강원랜드,035250,2005/12,01,1,189102
(주)강원랜드,035250,2006/12,01,1,189102
(주)강원랜드,035250,2007/12,01,1,189102
(주)강원랜드,035250,2008/12,01,1,189102
(주)강원랜드,035250,2009/12,01,1,189102
(주)강원랜드,035250,2010/12,01,1,189102
(주)강원랜드,035250,2011/12,01,1,189102
(주)강원랜드,035250,2012/12,01,1,189102
(주)강원랜드,035250,2013/12,01,1,189102
(주)강원랜드,035250,2014/12,01,1,189102
(주)강원랜드,035250,2015/12,01,1,189102
(주)강원랜드,035250,2016/12,01,1,189102
(주)강원랜드,035250,2017/12,01,1,189102
(주)강원랜드,035250,2018/12,01,1,189102
(주)강원랜드,035250,2019/12,01,1,189102
(주)강원랜드,035250,2020/12,01,1,189102
(주)갤럭시아에스엠,011420,2000/12,01,1,189101
(주)갤럭시아에스엠,011420,2001/12,01,1,189101
(주)갤럭시아에스엠,011420,2002/12,01,1,189101
(주)갤럭시아에스엠,011420,2003/12,01,1,189101
(주)갤럭시아에스엠,011420,2004/12,01,1,189101
(주)갤럭시아에스엠,011420,2005/12,01,1,189101
(주)갤럭시아에스엠,011420,2006/12,01,1,189101
(주)갤럭시아에스엠,011420,2007/12,01,1,189101
(주)갤럭시아에스엠,011420,2008/12,01,1,189101
(주)갤럭시아에스엠,011420,2009/12,01,1,189101
(주)갤럭시아에스엠,011420,2010/12,01,1,189101
(주)갤럭시아에스엠,011420,2011/12,01,1,189101
(주)갤럭시아에스엠,011420,2012/12,01,1,189101
(주)갤럭시아에스엠,011420,2013/12,01,1,189101
(주)갤럭시아에스엠,011420,2014/12,01,1,189101
(주)갤럭시아에스엠,011420,2015/12,01,1,189101
(주)갤럭시아에스엠,011420,2016/12,01,1,189101
(주)갤럭시아에스엠,011420,2017/12,01,1,189101
(주)갤럭시아에스엠,011420,2018/12,01,1,189101
(주)갤럭시아에스엠,011420,2019/12,01,1,189101
(주)갤럭시아에스엠,011420,2020/12,01,1,189101
(주)건영,012720,2000/12,01,4,064101
(주)건영,012720,2001/12,01,4,064101
(주)건영,012720,2002/12,01,4,064101
(주)게임빌,063080,2004/12,01,5,105802
(주)게임빌,063080,2005/12,01,5,105802
(주)게임빌,063080,2006/12,01,5,105802
(주)게임빌,063080,2007/12,01,5,105802
(주)게임빌,063080,2008/12,01,5,105802
(주)게임빌,063080,2009/12,01,5,105802
(주)게임빌,063080,2010/12,01,5,105802
(주)게임빌,063080,2011/12,01,5,105802
(주)게임빌,063080,2012/12,01,5,105802
(주)게임빌,063080,2013/12,01,5,105802
(주)게임빌,063080,2014/12,01,5,105802
(주)게임빌,063080,2015/12,01,5,105802
(주)게임빌,063080,2016/12,01,5,105802
(주)게임빌,063080,2017/12,01,5,105802
(주)게임빌,063080,2018/12,01,5,105802
(주)게임빌,063080,2019/12,01,5,105802
(주)게임빌,063080,2020/12,01,5,105802
(주)경남은행,006610,2000/12,02,4,116501
(주)경남은행,006610,2001/12,02,4,116501
(주)경남은행,006610,2002/12,02,4,116501
(주)경남은행,192520,2014/12,02,4,116501
(주)경농,002100,2000/12,01,1,032003
(주)경농,002100,2001/12,01,1,032003
(주)경농,002100,2002/12,01,1,032003
(주)경농,002100,2003/12,01,1,032003
(주)경농,002100,2004/12,01,1,032003
(주)경농,002100,2005/12,01,1,032003
(주)경농,002100,2006/12,01,1,032003
(주)경농,002100,2007/12,01,1,032003
(주)경농,002100,2008/12,01,1,032003
(주)경농,002100,2009/12,01,1,032003
(주)경농,002100,2010/12,01,1,032003
(주)경농,002100,2011/12,01,1,032003
(주)경농,002100,2012/12,01,1,032003
(주)경농,002100,2013/12,01,1,032003
(주)경농,002100,2014/12,01,1,032003
(주)경농,002100,2015/12,01,1,032003
(주)경농,002100,2016/12,01,1,032003
(주)경농,002100,2017/12,01,1,032003
(주)경농,002100,2018/12,01,1,032003
(주)경농,002100,2019/12,01,1,032003
(주)경농,002100,2020/12,01,1,032003
(주)경동나비엔,009450,2000/12,01,1,032805
(주)경동나비엔,009450,2001/12,01,1,032805
(주)경동나비엔,009450,2002/12,01,1,032805
(주)경동나비엔,009450,2003/12,01,1,032805
(주)경동나비엔,009450,2004/12,01,1,032805
(주)경동나비엔,009450,2005/12,01,1,032805
(주)경동나비엔,009450,2006/12,01,1,032805
(주)경동나비엔,009450,2007/12,01,1,032805
(주)경동나비엔,009450,2008/12,01,1,032805
(주)경동나비엔,009450,2009/12,01,1,032805
(주)경동나비엔,009450,2010/12,01,1,032805
(주)경동나비엔,009450,2011/12,01,1,032805
(주)경동나비엔,009450,2012/12,01,1,032805
(주)경동나비엔,009450,2013/12,01,1,032805
(주)경동나비엔,009450,2014/12,01,1,032805
(주)경동나비엔,009450,2015/12,01,1,032805
(주)경동나비엔,009450,2016/12,01,1,032805
(주)경동나비엔,009450,2017/12,01,1,032805
(주)경동나비엔,009450,2018/12,01,1,032805
(주)경동나비엔,009450,2019/12,01,1,032805
(주)경동나비엔,009450,2020/12,01,1,032805
(주)경동도시가스,267290,2017/12,01,1,043502
(주)경동도시가스,267290,2018/12,01,1,043502
(주)경동도시가스,267290,2019/12,01,1,043502
(주)경동도시가스,267290,2020/12,01,1,043502
(주)경동인베스트,012320,2000/12,01,1,137105
(주)경동인베스트,012320,2001/12,01,1,137105
(주)경동인베스트,012320,2002/12,01,1,137105
(주)경동인베스트,012320,2003/12,01,1,137105
(주)경동인베스트,012320,2004/12,01,1,137105
(주)경동인베스트,012320,2005/12,01,1,137105
(주)경동인베스트,012320,2006/12,01,1,137105
(주)경동인베스트,012320,2007/12,01,1,137105
(주)경동인베스트,012320,2008/12,01,1,137105
(주)경동인베스트,012320,2009/12,01,1,137105
(주)경동인베스트,012320,2010/12,01,1,137105
(주)경동인베스트,012320,2011/12,01,1,137105
(주)경동인베스트,012320,2012/12,01,1,137105
(주)경동인베스트,012320,2013/12,01,1,137105
(주)경동인베스트,012320,2014/12,01,1,137105
(주)경동인베스트,012320,2015/12,01,1,137105
(주)경동인베스트,012320,2016/12,01,1,137105
(주)경동인베스트,012320,2017/12,01,1,137105
(주)경동인베스트,012320,2018/12,01,1,137105
(주)경동인베스트,012320,2019/12,01,1,137105
(주)경동인베스트,012320,2020/12,01,1,137105
(주)경방,000050,2000/12,01,1,074701
(주)경방,000050,2001/12,01,1,074701
(주)경방,000050,2002/12,01,1,074701
(주)경방,000050,2003/12,01,1,074701
(주)경방,000050,2004/12,01,1,074701
(주)경방,000050,2005/12,01,1,074701
(주)경방,000050,2006/12,01,1,074701
(주)경방,000050,2007/12,01,1,074701
(주)경방,000050,2008/12,01,1,074701
(주)경방,000050,2009/12,01,1,074701
(주)경방,000050,2010/12,01,1,074701
(주)경방,000050,2011/12,01,1,074701
(주)경방,000050,2012/12,01,1,074701
(주)경방,000050,2013/12,01,1,074701
(주)경방,000050,2014/12,01,1,074701
(주)경방,000050,2015/12,01,1,074701
(주)경방,000050,2016/12,01,1,074701
(주)경방,000050,2017/12,01,1,074701
(주)경방,000050,2018/12,01,1,074701
(주)경방,000050,2019/12,01,1,074701
(주)경방,000050,2020/12,01,1,074701
(주)경보제약,214390,2000/12,01,1,032101
(주)경보제약,214390,2001/12,01,1,032101
(주)경보제약,214390,2002/12,01,1,032101
(주)경보제약,214390,2003/12,01,1,032101
(주)경보제약,214390,2004/12,01,1,032101
(주)경보제약,214390,2005/12,01,1,032101
(주)경보제약,214390,2006/12,01,1,032101
(주)경보제약,214390,2007/12,01,1,032101
(주)경보제약,214390,2008/12,01,1,032101
(주)경보제약,214390,2009/12,01,1,032101
(주)경보제약,214390,2010/12,01,1,032101
(주)경보제약,214390,2011/12,01,1,032101
(주)경보제약,214390,2012/12,01,1,032101
(주)경보제약,214390,2013/12,01,1,032101
(주)경보제약,214390,2014/12,01,1,032101
(주)경보제약,214390,2015/12,01,1,032101
(주)경보제약,214390,2016/12,01,1,032101
(주)경보제약,214390,2017/12,01,1,032101
(주)경보제약,214390,2018/12,01,1,032101
(주)경보제약,214390,2019/12,01,1,032101
(주)경보제약,214390,2020/12,01,1,032101
(주)경윤하이드로에너지,019120,2000/12,01,4,031501
(주)경윤하이드로에너지,019120,2001/12,01,4,031501
(주)경윤하이드로에너지,019120,2002/12,01,4,031501
(주)경윤하이드로에너지,019120,2003/12,01,4,031501
(주)경윤하이드로에너지,019120,2004/12,01,4,031501
(주)경윤하이드로에너지,019120,2005/12,01,4,031501
(주)경윤하이드로에너지,019120,2006/12,01,4,031501
(주)경윤하이드로에너지,019120,2007/12,01,4,031501
(주)경윤하이드로에너지,019120,2008/12,01,4,031501
(주)경윤하이드로에너지,019120,2009/12,01,4,031501
(주)경윤하이드로에너지,019120,2010/12,01,4,031501
(주)경인양행,012610,2000/12,01,1,032001
(주)경인양행,012610,2001/12,01,1,032001
(주)경인양행,012610,2002/12,01,1,032001
(주)경인양행,012610,2003/12,01,1,032001
(주)경인양행,012610,2004/12,01,1,032001
(주)경인양행,012610,2005/12,01,1,032001
(주)경인양행,012610,2006/12,01,1,032001
(주)경인양행,012610,2007/12,01,1,032001
(주)경인양행,012610,2008/12,01,1,032001
(주)경인양행,012610,2009/12,01,1,032001
(주)경인양행,012610,2010/12,01,1,032001
(주)경인양행,012610,2011/12,01,1,032001
(주)경인양행,012610,2012/12,01,1,032001
(주)경인양행,012610,2013/12,01,1,032001
(주)경인양행,012610,2014/12,01,1,032001
(주)경인양행,012610,2015/12,01,1,032001
(주)경인양행,012610,2016/12,01,1,032001
(주)경인양행,012610,2017/12,01,1,032001
(주)경인양행,012610,2018/12,01,1,032001
(주)경인양행,012610,2019/12,01,1,032001
(주)경인양행,012610,2020/12,01,1,032001
(주)계몽사,011840,2000/12,01,4,105801
(주)계몽사,011840,2002/09,01,4,105801
(주)고려시멘트,198440,2014/12,01,5,032303
(주)고려시멘트,198440,2015/12,01,5,032303
(주)고려시멘트,198440,2016/12,01,5,032303
(주)고려시멘트,198440,2017/12,01,5,032303
(주)고려시멘트,198440,2018/12,01,5,032303
(주)고려시멘트,198440,2019/12,01,5,032303
(주)고려시멘트,198440,2020/12,01,5,032303
(주)고바이오랩,348150,2019/12,01,5,137001
(주)고바이오랩,348150,2020/12,01,5,137001
(주)고영테크놀러지,098460,2005/12,01,5,032902
(주)고영테크놀러지,098460,2006/12,01,5,032902
(주)고영테크놀러지,098460,2007/12,01,5,032902
(주)고영테크놀러지,098460,2008/12,01,5,032902
(주)고영테크놀러지,098460,2009/12,01,5,032902
(주)고영테크놀러지,098460,2010/12,01,5,032902
(주)고영테크놀러지,098460,2011/12,01,5,032902
(주)고영테크놀러지,098460,2012/12,01,5,032902
(주)고영테크놀러지,098460,2013/12,01,5,032902
(주)고영테크놀러지,098460,2014/12,01,5,032902
(주)고영테크놀러지,098460,2015/12,01,5,032902
(주)고영테크놀러지,098460,2016/12,01,5,032902
(주)고영테크놀러지,098460,2017/12,01,5,032902
(주)고영테크놀러지,098460,2018/12,01,5,032902
(주)고영테크놀러지,098460,2019/12,01,5,032902
(주)고영테크놀러지,098460,2020/12,01,5,032902
(주)고제,002540,2000/12,01,4,032001
(주)고제,002540,2001/12,01,4,032001
(주)고제,002540,2002/12,01,4,032001
(주)고제,002540,2003/12,01,4,032001
(주)고제,002540,2004/12,01,4,032001
(주)고제,002540,2005/12,01,4,032001
(주)고제,002540,2006/12,01,4,032001
(주)고제,002540,2007/12,01,4,032001
(주)고제,002540,2008/12,01,4,032001
(주)고제,002540,2009/12,01,4,032001
(주)고합,004460,2000/12,01,4,032001
(주)고합,004460,2001/12,01,4,032001
(주)골드앤에스,035290,2000/12,01,6,105801
(주)골드앤에스,035290,2001/12,01,6,105801
(주)골드앤에스,035290,2002/12,01,6,105801
(주)골드앤에스,035290,2003/12,01,6,105801
(주)골드앤에스,035290,2004/12,01,6,105801
(주)골드앤에스,035290,2005/12,01,6,105801
(주)골드앤에스,035290,2006/12,01,6,105801
(주)골드앤에스,035290,2007/12,01,6,105801
(주)골드앤에스,035290,2008/12,01,6,105801
